domain	utterance	intents
alarm	Can you please turn off my work alarm	[IN:SILENCE_ALARM]
alarm	set an alarm for every minute for the next 30 minutes	[IN:CREATE_ALARM]
alarm	wake me up an hour before my next meeting	[IN:UNSUPPORTED_ALARM]
alarm	Set alarm for work	[IN:CREATE_ALARM]
alarm	Set alarm for 30 minutes from now	[IN:CREATE_ALARM]
alarm	Set alarm for 7 am every Monday	[IN:CREATE_ALARM]
alarm	Set alarm for two hours from now	[IN:CREATE_ALARM]
alarm	set alarm to remind me to take out trash	[IN:CREATE_ALARM]
alarm	Give me an alarm every two minutes for a half hour	[IN:CREATE_ALARM]
alarm	Snooze the alarm for 15 minutes	[IN:SNOOZE_ALARM]
alarm	Snooze this alarm for another 5 minutes	[IN:SNOOZE_ALARM]
alarm	what time is my alarm set for in the morning	[IN:GET_ALARM, IN:GET_TIME]
alarm	Show work out alarm	[IN:GET_ALARM]
alarm	set alarm for 45 minutes from now	[IN:CREATE_ALARM]
alarm	Wake me up in 2 hours	[IN:CREATE_ALARM]
alarm	cancel alarm for 8 p.m. tonight	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Turn on all scheduled alarms	[IN:CREATE_ALARM]
alarm	snooze 15 minutes	[IN:SNOOZE_ALARM]
alarm	set an alarm for 4 a.m. tomorrow	[IN:CREATE_ALARM]
alarm	Delete tomorrow morning's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for 2 pm on the fifth	[IN:CREATE_ALARM]
alarm	Set my alarm for 1 in the morning	[IN:CREATE_ALARM]
alarm	set an alarm to go off in 15 minutes	[IN:CREATE_ALARM]
alarm	set alarm 10 minutes from now	[IN:CREATE_ALARM]
alarm	activate my weekend alarms	[IN:CREATE_ALARM]
alarm	Delete my first 2 alarms	[IN:DELETE_ALARM]
alarm	Please set the alarm for tonight at 9pm	[IN:CREATE_ALARM]
alarm	Set alarm for 8:30am Monday - Friday	[IN:CREATE_ALARM]
alarm	Set alarm every 30 seconds for 5 minutes	[IN:CREATE_ALARM]
alarm	Change alarm to 20 minutes instead of 30 minutes	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Set alarm for 7 am everyday monday through friday	[IN:CREATE_ALARM]
alarm	Schedule wake up alarm for 0530	[IN:CREATE_ALARM]
alarm	Set the alarm for Friday night at 6 p.m	[IN:CREATE_ALARM]
alarm	Set an alarm that goes off in 10 second intervals for five whole minutes	[IN:CREATE_ALARM]
alarm	Set alarm for 7 am every other day	[IN:CREATE_ALARM]
alarm	Set the snooze for 5 mins later	[IN:SNOOZE_ALARM]
alarm	Set an alarm for weekends are 9am	[IN:CREATE_ALARM]
alarm	create an alarm for 7pm tonight	[IN:CREATE_ALARM]
alarm	Add an alarm for checking for monsters under the bed	[IN:CREATE_ALARM]
alarm	create an alarm every 5 minutes for an hour	[IN:CREATE_ALARM]
alarm	Set an alarm to go off in 5 minutes	[IN:CREATE_ALARM]
alarm	set new alarm in 2 hours	[IN:CREATE_ALARM]
alarm	Set an alarm for 5 titled work	[IN:CREATE_ALARM]
alarm	set alarm for 4am monday through friday	[IN:CREATE_ALARM]
alarm	I need an alarm every 5 minutes from 3:40 until 4:00	[IN:CREATE_ALARM]
alarm	What time did I set my alarm for last saturday morning	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set an alarm for 30 Minutes from now	[IN:CREATE_ALARM]
alarm	Create an alarm for weekday's at 6 AM	[IN:CREATE_ALARM]
alarm	cancel alarm for pool-its raining	[IN:DELETE_ALARM]
alarm	set a cooking alarm in 2 hours	[IN:CREATE_ALARM]
alarm	Set alarm for every fives minutes for the next hour	[IN:CREATE_ALARM]
alarm	Delete my morning alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	cancel alarm for todays workout	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 2 hours from now	[IN:CREATE_ALARM]
alarm	Snooze after 3 minutes	[IN:SNOOZE_ALARM]
alarm	Set alarm Monday through Friday at 5 a.m	[IN:CREATE_ALARM]
alarm	please set alarm for 7p with title GO TO BED	[IN:CREATE_ALARM]
alarm	Set snooze for every 10 minutes	[IN:CREATE_ALARM]
alarm	Set alarm for 7 am every day this week	[IN:CREATE_ALARM]
alarm	Pause all alarms from this Monday through Sunday	[IN:SNOOZE_ALARM]
alarm	Snooze for ten minutes	[IN:SNOOZE_ALARM]
alarm	check tomorrow's alarms please	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set alarm for 9 pm bedtime	[IN:CREATE_ALARM]
alarm	set alarm to go off in 20 minutes	[IN:CREATE_ALARM]
alarm	Set my alarm for 25 minutes and then again in 5 more minutes	[IN:CREATE_ALARM]
alarm	Delete weekend alarm	[IN:DELETE_ALARM]
alarm	Set an alarm for Friday night at 8pm	[IN:CREATE_ALARM]
alarm	sound an alarm after 5 minutes	[IN:CREATE_ALARM]
alarm	Set alarm every 10 minutes	[IN:CREATE_ALARM]
alarm	Turn off weekend alarms	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Can you switch all my alarms off for the next four hours, then turn them back on	[IN:UNSUPPORTED_ALARM]
alarm	Set alarm for 7am every other day starting today	[IN:CREATE_ALARM]
alarm	DELETE ALL WEEKEND ALARMS	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Delete my timer alarm on Friday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for an hour	[IN:CREATE_ALARM]
alarm	recurring alarm for 6 am please	[IN:CREATE_ALARM]
alarm	Set my alarm to go off at in 45 minutes	[IN:CREATE_ALARM]
alarm	Snooze my alarm for 15 minutes	[IN:SNOOZE_ALARM]
alarm	delete all alarms before 6am	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	turn off my alarm for the weekend	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set alarm every minute for 10 minutes	[IN:CREATE_ALARM]
alarm	set alarm for thursday morning 7am please	[IN:CREATE_ALARM]
alarm	Set alarm in 5 minutes	[IN:CREATE_ALARM]
alarm	Set my nap alarm for 2 pm today	[IN:CREATE_ALARM]
alarm	set alarm for 5 am every day	[IN:CREATE_ALARM]
alarm	Wake me up in 12 hours	[IN:CREATE_ALARM]
alarm	Set a go to bed alarm	[IN:CREATE_ALARM]
alarm	Add 10 minutes to my morning wake up alarm	[IN:UPDATE_ALARM]
alarm	Set an alarm for 1 hour from now	[IN:CREATE_ALARM]
alarm	Set an alarm for two hours from now	[IN:CREATE_ALARM]
alarm	Remove my alarm called feed dog	[IN:DELETE_ALARM]
alarm	set alarm for ten minutes from now	[IN:CREATE_ALARM]
alarm	Turn off tomorrow's alarm	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set an alarm to remind me to wake John in an hour	[IN:CREATE_ALARM]
alarm	Set another alarm for 10 minutes from now	[IN:CREATE_ALARM]
alarm	Change the alarm at 7 am to 6 am	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	set an alarm for an hour from now	[IN:CREATE_ALARM]
alarm	Set my alarm for 30 minutes from now	[IN:CREATE_ALARM]
alarm	Set alarm for dusk	[IN:CREATE_ALARM]
alarm	set work alarm to weekdays at 5 am	[IN:CREATE_ALARM]
alarm	Move 7am alarm to 8	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	set an alarm for 20 minutes from now	[IN:CREATE_ALARM]
alarm	Please set up an alarm for 20 minutes from now	[IN:CREATE_ALARM]
alarm	Set an alarm for every 60 seconds	[IN:CREATE_ALARM]
alarm	Set an alarm for 10:30 pm every other Tuesday	[IN:CREATE_ALARM]
alarm	Set work alarm every hour for 8 hours	[IN:CREATE_ALARM]
alarm	Set an alarm for 10 a.m. Friday	[IN:CREATE_ALARM]
alarm	Turn on alarm for 10am all week	[IN:CREATE_ALARM]
alarm	how many alarms do I have set for today before 12pm	[IN:GET_ALARM, IN:GET_TIME]
alarm	delete 6 a.m. alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for tomorrow morning at 4:30	[IN:CREATE_ALARM]
alarm	set alarm for 3 am everyday for this week	[IN:CREATE_ALARM]
alarm	It is summer, turn off my weekday alarms	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set a recurring alarm for Tuesday and Thursday at 11:30am to give dog meds	[IN:CREATE_ALARM]
alarm	turn off my morning alarm please	[IN:SILENCE_ALARM]
alarm	set alarm for 15 minutes from now	[IN:CREATE_ALARM]
alarm	Show all am alarms	[IN:GET_ALARM, IN:GET_TIME]
alarm	Alarm in one hour	[IN:CREATE_ALARM]
alarm	Set an alarm for 1 hour from now	[IN:CREATE_ALARM]
alarm	Set an alarm at the end of 10 minutes	[IN:CREATE_ALARM]
alarm	Cancel my alarm with lunch meeting with Jason today	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	I need an alarm to go off in one hour	[IN:CREATE_ALARM]
alarm	Set an alarm called, "take the Apple Pie out," for 20 minutes from now	[IN:CREATE_ALARM]
alarm	Set alarm in the next 10 minutes	[IN:CREATE_ALARM]
alarm	set alarm for 4am tomorrow	[IN:CREATE_ALARM]
alarm	Set medication alarm for 9 PM	[IN:CREATE_ALARM]
alarm	Set my alarm for every 2 minutes	[IN:CREATE_ALARM]
alarm	What is my alarm for Wednesdays	[IN:GET_ALARM, IN:GET_TIME]
alarm	I want to set my alarm for 5 hours	[IN:CREATE_ALARM]
alarm	cancel work alarm for tuesday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm every minute for 17 minutes	[IN:CREATE_ALARM]
alarm	Set my nap alarm for 2 hours	[IN:CREATE_ALARM]
alarm	Cancel tomorrows alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel tomorrow's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set 12:00 pm alarm for every other Thursday for the next six weeks	[IN:CREATE_ALARM]
alarm	set alarms for 6 am all week	[IN:CREATE_ALARM]
alarm	Set alarm 5 hours	[IN:CREATE_ALARM]
alarm	set alarm for 4am this morning	[IN:CREATE_ALARM]
alarm	Modify my alarm for Friday morning	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Cancel all Saturday alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set Alarm for 9 minutes	[IN:CREATE_ALARM]
alarm	set alarm for thirty minutes from now	[IN:CREATE_ALARM]
alarm	Wake me up in about 3 hours	[IN:CREATE_ALARM]
alarm	Cancel my 20 minute alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for every 5 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm later on today for 4 pm	[IN:CREATE_ALARM]
alarm	Make alarm for 48 hours from now	[IN:CREATE_ALARM]
alarm	set an alarm to go off every minute for 8 minutes	[IN:CREATE_ALARM]
alarm	set alarm to remind me to leave the house on time	[IN:CREATE_ALARM]
alarm	set house alarm now	[IN:CREATE_ALARM]
alarm	set alarm for 4 pm every day this week	[IN:CREATE_ALARM]
alarm	show me my weekend alarms	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set alarm 50 minutes from now	[IN:CREATE_ALARM]
alarm	new alarm clock for 8 am	[IN:CREATE_ALARM]
alarm	Second alarm 20 minutes later	[IN:CREATE_ALARM]
alarm	Set the alarm for am every day until Friday	[IN:CREATE_ALARM]
alarm	Schedule alarm for 6 pm	[IN:CREATE_ALARM]
alarm	can you set and alarm for every 5 minute for an hour	[IN:CREATE_ALARM]
alarm	Set alarm for 1 hour from now	[IN:CREATE_ALARM]
alarm	Create an alarm named Make Dinner for 18:30Hrs to reoccur every day of the week	[IN:CREATE_ALARM]
alarm	set my gym alarm for 9pm	[IN:CREATE_ALARM]
alarm	timer alarm set for 9;45 tomorrow evening	[IN:CREATE_ALARM]
alarm	cancel my alarm for this sunday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set my snooze for 5 minutes	[IN:SNOOZE_ALARM]
alarm	Create a weekday alarm	[IN:CREATE_ALARM]
alarm	Cancel the alarm for 5:30 a.m. tomorrow	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Sound alarm every 20 minutes	[IN:CREATE_ALARM]
alarm	cancel oven alarm	[IN:DELETE_ALARM]
alarm	Set alarm for 4 am tomorrow	[IN:CREATE_ALARM]
alarm	Wake me from a nap in 45 minutes	[IN:CREATE_ALARM]
alarm	set alarm for two hours from now	[IN:CREATE_ALARM]
alarm	set alarm every 60 seconds	[IN:CREATE_ALARM]
alarm	set an alarm for every minute over the next 60 minutes	[IN:CREATE_ALARM]
alarm	Set a alarm to go off in 60 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm for weekdays at 6:00 am	[IN:CREATE_ALARM]
alarm	Set an alarm for 7	[IN:CREATE_ALARM]
alarm	Set an alarm for 4:30 tomorrow afternoon	[IN:CREATE_ALARM]
alarm	Set an alarm every 10 minutes for an hour	[IN:CREATE_ALARM]
alarm	set alarm every 5 minutes for the next hour	[IN:CREATE_ALARM]
alarm	Change my alarm to 5 am for the next month	[IN:UPDATE_ALARM]
alarm	Set alarm every hour on the hour	[IN:CREATE_ALARM]
alarm	alert me after 15 minutes	[IN:CREATE_ALARM]
alarm	set an alarm for half an hour from now	[IN:CREATE_ALARM]
alarm	set an alarm for every 30 seconds for the next 5 minutes	[IN:CREATE_ALARM]
alarm	Set back up alarm for 8am	[IN:CREATE_ALARM]
alarm	Alarm for ten minutes from now	[IN:CREATE_ALARM]
alarm	set recurring alarm for 6 am	[IN:CREATE_ALARM]
alarm	Snooze alarm once for 20 minutes	[IN:SNOOZE_ALARM]
alarm	set my alarm 20 minutes earlier please	[IN:UPDATE_ALARM]
alarm	Change my daily alarm from 17h00 to 18h00	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	cancel todays alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 1 hour from now	[IN:CREATE_ALARM]
alarm	Set alarm for Sunday night at 8	[IN:CREATE_ALARM]
alarm	Change the alarm from 1 to 2 hours	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	set alarm every 30 seconds for a minute	[IN:CREATE_ALARM]
alarm	Set the alarm for tonight at 9	[IN:CREATE_ALARM]
alarm	Set my alarm for 15 minutes	[IN:CREATE_ALARM]
alarm	delete work alarm	[IN:DELETE_ALARM]
alarm	start alarm in four minutes	[IN:CREATE_ALARM]
alarm	Cancel Sunday's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	repeat this alarm on weekdays only	[IN:UPDATE_ALARM]
alarm	set alarm for mondays & wednesdays	[IN:CREATE_ALARM]
alarm	Set alarm for 2 hours from now	[IN:CREATE_ALARM]
alarm	cancel today's alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Have my alarm go off in 20 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm every 10 minutes for 2 hours	[IN:CREATE_ALARM]
alarm	Set recurring alarm this week for 9am	[IN:CREATE_ALARM]
alarm	set alarm to go off in 8 hours	[IN:CREATE_ALARM]
alarm	set an alarm for every 5 minutes	[IN:CREATE_ALARM]
alarm	turn on preset alarm	[IN:CREATE_ALARM]
alarm	Start alarm set for 25 minutes from now	[IN:CREATE_ALARM]
alarm	Change my morning alarm to 7:45 am	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	cancel the alarm for 4pm today	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Add ten minutes to alarm	[IN:UPDATE_ALARM]
alarm	Set alarm for one hour	[IN:CREATE_ALARM]
alarm	Cancel all alarms in the next 12 hrs	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	let the alarm go off in intervals of 5 minutes	[IN:CREATE_ALARM]
alarm	Set the alarm for quick 30 minute HIIT workout	[IN:CREATE_ALARM]
alarm	Set the alarm every 2 minutes for 15 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm for every five minutes for the next thirty minutes	[IN:CREATE_ALARM]
alarm	Set alarm for 6 am Monday to Friday	[IN:CREATE_ALARM]
alarm	skip alarms from 10pm to 5am	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	set alarm for all weekdays at six	[IN:CREATE_ALARM]
alarm	Set alarm for 5 am Monday through Friday	[IN:CREATE_ALARM]
alarm	Set an alarm for 5 hours from now	[IN:CREATE_ALARM]
alarm	show tomorrow's alarms	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set a 20 minute alarm	[IN:CREATE_ALARM]
alarm	set alarms for every 8 hours for next 5 days	[IN:CREATE_ALARM]
alarm	Snooze alarm for 20 minutes	[IN:SNOOZE_ALARM]
alarm	set alarm two days from now	[IN:CREATE_ALARM]
alarm	adjust alarm to 1 hour	[IN:UPDATE_ALARM]
alarm	Set a 9am alarm for Tuesdays and Thursdays	[IN:CREATE_ALARM]
alarm	Set alarm for 1 hour from now	[IN:CREATE_ALARM]
alarm	Set an alarm for a half hour from now	[IN:CREATE_ALARM]
alarm	Set alarm for every minute for 20 mins	[IN:CREATE_ALARM]
alarm	set alarm for every 20 minutes	[IN:CREATE_ALARM]
alarm	cancel the alarm for tonight	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Turn on the alarm to ring in two hours	[IN:CREATE_ALARM]
alarm	Set an alarm for every 7 minutes for 28 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm with a subject of call grandma at 8 PM on Sunday's	[IN:CREATE_ALARM]
alarm	Set alarm for 15 minutes pass 1 am	[IN:CREATE_ALARM]
alarm	Set my snooze alarm for every 5 minutes	[IN:CREATE_ALARM]
alarm	Set the alarm for 20 minutes from now	[IN:CREATE_ALARM]
alarm	set my weekend alarm for 730 am	[IN:CREATE_ALARM]
alarm	Snooze for 13 minutes	[IN:SNOOZE_ALARM]
alarm	Set an alarm to go off at 9:00 AM daily	[IN:CREATE_ALARM]
alarm	Set 3 alarms up, starting at 7:00 AM, 20 minutes apart	[IN:CREATE_ALARM]
alarm	What is my night shift alarm set at	[IN:GET_ALARM]
alarm	shut off my alarm after 5 minutes	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set alarm 35 minutes from now	[IN:CREATE_ALARM]
alarm	Please set the alarm for 6 each morning	[IN:CREATE_ALARM]
alarm	alarm set to go off every 5 minutes for the next 45 minutes	[IN:CREATE_ALARM]
alarm	Set an alarm for five minutes from now	[IN:CREATE_ALARM]
alarm	erase alarms for this weekend	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Change all alarms set at 3 a.m. to 5 a.m. instead	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 2 hours from now so I stop working	[IN:CREATE_ALARM]
alarm	Set alarm every minute for 10 minutes	[IN:CREATE_ALARM]
alarm	Set alarm for one hour from now	[IN:CREATE_ALARM]
alarm	Alarm wake me up in 20mins	[IN:CREATE_ALARM]
alarm	set my home alarm to away	[IN:UNSUPPORTED_ALARM]
alarm	is there more than 15 minutes left on alarm	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set an alarm for every 20 minutes over the next hour	[IN:CREATE_ALARM]
alarm	cancel all my alarms after 5	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for every 15 minutes	[IN:CREATE_ALARM]
alarm	set alarm to go off at 5pm daily	[IN:CREATE_ALARM]
alarm	Show me all my alarms I have set for the weekend	[IN:GET_ALARM, IN:GET_TIME]
alarm	sound an alarm after 10 minutes	[IN:UNSUPPORTED_ALARM]
alarm	Set alarm for noon three Sundays from now	[IN:CREATE_ALARM]
alarm	Snooze alarm for 10 minutes	[IN:SNOOZE_ALARM]
alarm	set an alarm for 5 hours from now	[IN:CREATE_ALARM]
alarm	set my morning alarm for 30 minutes earlier	[IN:CREATE_ALARM]
alarm	Do I have an alarm set for the morning	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set an alarm for 2 hours before my meeting with Christine	[IN:CREATE_ALARM]
alarm	Set an alarm 5 minutes before my next meeting	[IN:CREATE_ALARM]
alarm	Repeat 7 am alarm Monday thru Friday	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	sound alarm for my reminder 10 minutes before 9 am	[IN:UNSUPPORTED_ALARM]
alarm	adjust the alarm to 15 minutes	[IN:UPDATE_ALARM]
alarm	Cancel sehri alarm	[IN:DELETE_ALARM]
alarm	Change alarm from 5am to 4:30am weekdays	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	Set my alarm to wake me up at 6 in the morning	[IN:CREATE_ALARM]
alarm	please help me set an alarm 20 minutes from now	[IN:CREATE_ALARM]
alarm	Set  alarm every 2 minutes for 30 minutes	[IN:CREATE_ALARM]
alarm	Delete my alarm in 1 minute	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for 7 minutes	[IN:CREATE_ALARM]
alarm	Stop the alarm after one minute	[IN:UNSUPPORTED_ALARM]
alarm	Set a new alarm to wake me up on Monday at 7:30 AM	[IN:CREATE_ALARM]
alarm	delete tomorrow mornings alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	How many hours until my morning alarm goes off	[IN:GET_ALARM, IN:GET_TIME]
alarm	Wake me up in the next 35 seconds	[IN:CREATE_ALARM]
alarm	Set alarm for two hours from now	[IN:CREATE_ALARM]
alarm	Set an alarm for midday	[IN:CREATE_ALARM]
alarm	Set alarm for 5 minutes in a hour	[IN:CREATE_ALARM]
alarm	Set alarm for 15 minutes	[IN:CREATE_ALARM]
alarm	Set alarm for six a.m. in the morning	[IN:CREATE_ALARM]
alarm	Set alarm for 1 hour	[IN:CREATE_ALARM]
alarm	Set alarm every 3 hours	[IN:CREATE_ALARM]
alarm	15 minute alarm	[IN:CREATE_ALARM]
alarm	Change tomorrow morning's alarm to one hour later	[IN:UPDATE_ALARM, IN:GET_TIME]
alarm	cancel weekends alarm	[IN:DELETE_ALARM]
alarm	Please cancel tomorrow morning's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel today's alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel tomorrow's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set weekday alarm for 6:30 PM	[IN:CREATE_ALARM]
alarm	Cancel my alarms for this weekend	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Turn off the morning alarm tonight	[IN:SILENCE_ALARM, IN:GET_TIME, IN:GET_TIME]
alarm	Set another alarm for 25 minutes	[IN:CREATE_ALARM]
alarm	cancel all of my alarms	[IN:DELETE_ALARM]
alarm	In 15 minutes start an alarm for 30 minutes	[IN:CREATE_ALARM]
alarm	change wake up alarm to go off 40 minutes later	[IN:UPDATE_ALARM]
alarm	Cancel tonight's 10 pm alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for every 20 seconds	[IN:CREATE_ALARM]
alarm	set a 30 second alarm split	[IN:CREATE_ALARM]
alarm	Cancel all weekend alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for an hour from now	[IN:CREATE_ALARM]
alarm	Delete today's 5AM alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set the alarm to sound in 45 minutes	[IN:CREATE_ALARM]
alarm	Label the alarm Running	[IN:UPDATE_ALARM]
alarm	Can you cancel all alarms for the weekend	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set an alarm for every 15 minutes for 1 hour	[IN:CREATE_ALARM]
alarm	Set an alarm for 6 am Monday through Friday every week	[IN:CREATE_ALARM]
alarm	Set alarm for every minute after 6 am	[IN:CREATE_ALARM]
alarm	Set alarm for the baseball game tonight	[IN:CREATE_ALARM]
alarm	set the alarm for 8 a.m. on sunday	[IN:CREATE_ALARM]
alarm	set the alarm for 7:15 in the morning	[IN:CREATE_ALARM]
alarm	Cancel tomorrow morning's alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Cancel the alarm for tomorrow morning	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Delete the 9am alarm for July 4th	[IN:DELETE_ALARM, IN:GET_TIME, IN:GET_TIME]
alarm	Cancel weekday alarms	[IN:DELETE_ALARM]
alarm	set an alarm for 20 minutes	[IN:CREATE_ALARM]
alarm	Set the alarm to go off in 15 minutes	[IN:CREATE_ALARM]
alarm	Show me my alarms for the weekend	[IN:GET_ALARM, IN:GET_TIME]
alarm	suspend tomorrows alarm	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Delete all alarms that go off before 6 AM	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm for 6am weekdays only	[IN:CREATE_ALARM]
alarm	please turn off all alarms for next week	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set an alarm one hour from now please	[IN:CREATE_ALARM]
alarm	Delete alarms that are for waking	[IN:DELETE_ALARM]
alarm	set alarms every 5 minutes starting at 6 am	[IN:CREATE_ALARM]
alarm	Set a make dinner alarm	[IN:CREATE_ALARM]
alarm	Set alarm for 5 minutes	[IN:CREATE_ALARM]
alarm	set my alarm for 10.15	[IN:CREATE_ALARM]
alarm	delete all weekends alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for an hour from now	[IN:CREATE_ALARM]
alarm	Set an alarm for next week Monday at 7pm	[IN:CREATE_ALARM]
alarm	Create an alarm for 5:45pm on Mondays and Wednesdays only	[IN:CREATE_ALARM]
alarm	add 20 minutes to the alarm	[IN:UPDATE_ALARM]
alarm	set an alarm for eight hours from now	[IN:CREATE_ALARM]
alarm	cancel the alarm for 7am tomorrow morning	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	cancel all morning alarms for saturday	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Setup the alarm for 10 minutes from now	[IN:CREATE_ALARM]
alarm	set an alarm for 6am Saturday morning	[IN:CREATE_ALARM]
alarm	Please set my alarm for exactly 12 hours from now	[IN:CREATE_ALARM]
alarm	Set the alarm to go off in an hour	[IN:CREATE_ALARM]
alarm	Snooze for 20 minutes	[IN:SNOOZE_ALARM]
alarm	set alarm every 3 minutes for 30 minutes	[IN:CREATE_ALARM]
alarm	set an alarm for 8AM on Saturday and Sunday	[IN:CREATE_ALARM]
alarm	Set alarm every 2 minutes for 30 minutes	[IN:CREATE_ALARM]
alarm	Snooze alarm for 10 min	[IN:SNOOZE_ALARM]
alarm	Set alarm for every 10 minutes for 30 minutes	[IN:CREATE_ALARM]
alarm	Turn alarms off during the weekend	[IN:SILENCE_ALARM, IN:GET_TIME]
alarm	Set alarm for next week on Wednesday at 3 p.m	[IN:CREATE_ALARM]
alarm	please set an alarm for 7 a.m. tomorrow	[IN:CREATE_ALARM]
alarm	how many more minutes is left on the alarm	[IN:GET_ALARM]
alarm	set an alarm to go off 45 minutes from now	[IN:CREATE_ALARM]
alarm	Please set two alarms to get me up at 8 am PST	[IN:CREATE_ALARM]
alarm	cancel 1 hour alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	I want a 3min egg so set the alarm	[IN:CREATE_ALARM]
alarm	Set an alarm for every five minutes over the next two hours	[IN:CREATE_ALARM]
alarm	Make an alarm for a hour from now	[IN:CREATE_ALARM]
alarm	Set my Get out of bed alarm to 5:35a	[IN:CREATE_ALARM]
alarm	Cancel Tuesday's alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set an alarm for ten minutes from now	[IN:CREATE_ALARM]
alarm	show me tonight's alarms please	[IN:GET_ALARM, IN:GET_TIME]
alarm	Set alarm to go off at 2pm every weekday	[IN:CREATE_ALARM]
alarm	Cancel my daily work out alarm	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	What time is wake up alarm tomorrow morning	[IN:GET_ALARM, IN:GET_TIME]
alarm	turn on my morning alarm	[IN:CREATE_ALARM]
alarm	set an alarm for 2 hours from now	[IN:CREATE_ALARM]
alarm	Cancel Mondays alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm every minute for 10 minutes	[IN:CREATE_ALARM]
alarm	set an alarm for me to wake up at 5am tomorrow	[IN:CREATE_ALARM]
